Date,Open,High,Low,Close,Volume,Adj Close
2017-02-24,41.700001,41.91,41.599998,41.779999,13103300,41.779999
2017-02-23,41.669998,42.00,41.619999,41.66,12816200,41.66
2017-02-22,41.509998,41.68,41.400002,41.599998,11062700,41.599998
2017-02-21,41.200001,41.50,41.200001,41.459999,16397600,41.459999
2017-02-17,41.130001,41.360001,41.049999,41.23,15062600,41.23
2017-02-16,40.549999,41.279999,40.50,41.200001,22178700,41.200001
2017-02-15,40.419998,40.630001,40.400002,40.439999,26405500,40.439999
2017-02-14,40.380001,40.599998,40.220001,40.529999,32163400,40.529999
2017-02-13,40.77,40.830002,40.50,40.619999,23498200,40.619999
2017-02-10,41.02,41.200001,40.549999,40.580002,28719500,40.580002
2017-02-09,42.02,42.02,40.720001,41.25,27037100,41.25
2017-02-08,41.91,42.150002,41.84,42.02,14157300,42.02
2017-02-07,41.700001,41.98,41.669998,41.900002,13266900,41.900002
2017-02-06,41.529999,41.669998,41.400002,41.560001,15442800,41.560001
2017-02-03,41.580002,41.790001,41.459999,41.540001,11878000,41.540001
2017-02-02,41.41,41.490002,41.25,41.400002,9447600,41.400002
2017-02-01,41.52,41.66,41.25,41.259998,11119500,41.259998
2017-01-31,41.389999,41.689999,41.360001,41.57,12552700,41.57
2017-01-30,41.299999,41.48,41.209999,41.380001,11556500,41.380001
2017-01-27,41.91,41.950001,41.419998,41.450001,12967400,41.450001
2017-01-26,42.029999,42.110001,41.790001,41.810001,8976800,41.810001
2017-01-25,41.939999,42.25,41.900002,42.119999,12538200,42.119999
